Exercício;Competência;Credor;Fonte;Repasse
2024;JANEIRO;SAS;1.500.000.0000;R$ 458.751,13
2024;MARÇO;SAS;1.500.000.0000;R$ 302.861,52
2024;ABRIL;SAS;1.500.000.0000;R$ 313.546,31
2024;MAIO;SAS;1.500.000.0000;R$ 632.347,56
2024;JUNHO;SAS;1.500.000.0000;R$ 321.176,88
2024;JULHO;SAS;1.500.000.0000;R$ 320.383,08
2024;AGOSTO;SAS;1.500.000.0000;R$ 320.302,21
2024;SETEMBRO;SAS;1.500.000.0000;R$ 321.145,41
2024;OUTUBRO;SAS;1.500.000.0000;R$ 323.450,50
2024;NOVEMBRO;SAS;1.500.000.0000;R$ 402.457,52
2024;DEZEMBRO;SAS;1.500.000.0000;R$ 317.932,99
2024;JANEIRO;CÂMARA;1.500.000.0000;R$ 1.362.770,12
2024;FEVEREIRO;CÂMARA;1.500.000.0000;R$ 1.362.770,12
2024;MARÇO;CÂMARA;1.500.000.0000;R$ 1.361.225,77
2024;ABRIL;CÂMARA;1.500.000.0000;R$ 1.361.225,77
2024;MAIO;CÂMARA;1.500.000.0000;R$ 1.361.225,77
2024;JUNHO;CÂMARA;1.500.000.0000;R$ 1.361.225,77
2024;JULHO;CÂMARA;1.500.000.0000;R$ 1.361.225,77
2024;AGOSTO;CÂMARA;1.500.000.0000;R$ 1.361.225,77
2024;SETEMBRO;CÂMARA;1.500.000.0000;R$ 1.361.225,77
2024;OUTUBRO;CÂMARA;1.500.000.0000;R$ 1.361.225,77
2024;NOVEMBRO;CÂMARA;1.500.000.0000;R$ 1.361.225,77
2024;DEZEMBRO;CÂMARA;1.500.000.0000;R$ 1.361.225,77
2024;DEZEMBRO;CÂMARA;1.500.000.0000;R$ 263.079,58
2024;ABRIL;SIMPAS;1.500.000.0000;R$ 6.489.830,98
2024;AGOSTO;SIMPAS;1.500.000.0000;R$ 5.930.170,90
2024;DEZEMBRO;SIMPAS;1.500.000.0000;R$ 7.788.491,61
2024;FEVEREIRO;SIMPAS;1.500.000.0000;R$ 5.549.274,37
2024;JANEIRO;SIMPAS;1.500.000.0000;R$ 5.462.496,32
2024;JULHO;SIMPAS;1.500.000.0000;R$ 5.954.282,85
2024;JUNHO;SIMPAS;1.500.000.0000;R$ 5.930.486,11
2024;MAIO;SIMPAS;1.500.000.0000;R$ 5.889.808,44
2024;MARÇO;SIMPAS;1.500.000.0000;R$ 5.533.660,30
2024;NOVEMBRO;SIMPAS;1.500.000.0000;R$ 4.501.020,74
2024;OUTUBRO;SIMPAS;1.500.000.0000;R$ 10.216.206,03
2024;SETEMBRO;SIMPAS;1.500.000.0000;R$ 5.943.743,74
2024;NOVEMBRO;SIMPAS;1.501.000.0000;R$ 1.515.949,00
