Código;Especificação;Previsto Janeiro;Previsto Fevereiro;Previsto Março;Previsto Abril;Previsto Maio;Previsto Junho;Previsto Julho;Previsto Agosto;Previsto Setembro;Previsto Outubro;Previsto Novembro;Previsto Dezembro;Total Previsto;Realizado Janeiro;Realizado Fevereiro;Realizado Março;Realizado Abril;Realizado Maio;Realizado Junho;Realizado Julho;Realizado Agosto;Realizado Setembro;Realizado Outubro;Realizado Novembro;Realizado Dezembro;Total Realizado;Diferença Janeiro;Diferença Fevereiro;Diferença Março;Diferença Abril;Diferença Maio;Diferença Junho;Diferença Julho;Diferença Agosto;Diferença Setembro;Diferença Outubro;Diferença Novembro;Diferença Dezembro;Total Diferença
1.500.000.0000;Recursos não vinculados de Impostos;14.869.765,75;19.992.612,53;14.135.245,28;17.695.066,78;20.420.667,64;15.344.503,13;16.287.554,76;14.267.147,07;16.112.650,35;14.139.686,33;15.348.297,25;20.749.734,53;199.362.931,40;16.329.797,65;20.742.859,00;10.560.567,08;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;47.633.223,73;1.460.031,90;750.246,47;-3.574.678,20;-17.695.066,78;-20.420.667,64;-15.344.503,13;-16.287.554,76;-14.267.147,07;-16.112.650,35;-14.139.686,33;-15.348.297,25;-20.749.734,53;-151.729.707,67
1.500.000.1001;Recursos não vinculados de Impostos (Educação);2.218.079,82;2.769.800,50;2.076.578,00;3.836.302,66;4.748.473,08;2.865.886,09;3.605.832,46;2.816.715,78;3.576.504,09;3.012.607,44;3.062.008,61;4.501.969,97;39.090.758,50;2.484.999,06;2.708.948,51;1.711.218,53;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6.905.166,10;266.919,24;-60.851,99;-365.359,47;-3.836.302,66;-4.748.473,08;-2.865.886,09;-3.605.832,46;-2.816.715,78;-3.576.504,09;-3.012.607,44;-3.062.008,61;-4.501.969,97;-32.185.592,40
1.500.000.1001;Recursos não vinculados de Impostos (Educação);2.218.079,82;2.769.800,50;2.076.578,00;3.836.302,66;4.748.473,08;2.865.886,09;3.605.832,46;2.816.715,78;3.576.504,09;3.012.607,44;3.062.008,61;4.501.969,97;39.090.758,50;2.484.999,06;2.708.948,51;1.711.218,53;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6.905.166,10;266.919,24;-60.851,99;-365.359,47;-3.836.302,66;-4.748.473,08;-2.865.886,09;-3.605.832,46;-2.816.715,78;-3.576.504,09;-3.012.607,44;-3.062.008,61;-4.501.969,97;-32.185.592,40
1.502.000.0000;Recursos não vinculados da compensação de impostos.;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.021,88;1.751,84;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.773,72;2.021,88;1.751,84;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.773,72
1.502.000.0000;Recursos não vinculados da compensação de impostos.;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.021,88;1.751,84;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.773,72;2.021,88;1.751,84;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.773,72
1.540.000.0000;Transferências do FUNDEB - Impostos e Transferências de Impostos (30%);1.627.001,83;1.993.931,52;1.540.261,24;1.715.014,37;1.460.485,02;1.467.450,15;1.513.530,26;1.403.940,84;1.468.745,72;1.375.627,26;1.500.797,80;1.785.046,11;18.851.832,12;1.778.164,68;2.068.145,92;1.285.177,75;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;5.131.488,35;151.162,85;74.214,40;-255.083,49;-1.715.014,37;-1.460.485,02;-1.467.450,15;-1.513.530,26;-1.403.940,84;-1.468.745,72;-1.375.627,26;-1.500.797,80;-1.785.046,11;-13.720.343,77
1.540.000.1070;Transferências do FUNDEB - Impostos e Transferências de Impostos (70% -Pagto da Remuneração dos Profissionais da Educação Básica em Efetivo Exercício);3.796.337,60;4.652.506,90;3.593.942,90;4.001.700,24;3.407.798,33;3.424.050,36;3.531.570,60;3.275.862,01;3.427.073,32;3.209.797,00;3.501.861,52;4.165.107,49;43.987.608,27;4.149.050,96;4.879.454,46;2.998.748,09;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;12.027.253,51;352.713,36;226.947,56;-595.194,81;-4.001.700,24;-3.407.798,33;-3.424.050,36;-3.531.570,60;-3.275.862,01;-3.427.073,32;-3.209.797,00;-3.501.861,52;-4.165.107,49;-31.960.354,76
1.546.000.0000;Transferências do FUNDEB - Complementação da União - ETI;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;45.368,70;30.295,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;75.663,90;45.368,70;30.295,20;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;75.663,90
1.546.000.1070;Transferências do FUNDEB - Complementação da União - ETI - 70%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;105.860,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;105.860,30;105.860,30;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;105.860,30
1.550.000.0000;QESE - Transferência do Salário-Educação;589.445,96;369.873,63;369.260,28;366.227,46;365.484,03;375.145,45;386.113,96;357.092,98;355.120,31;386.440,81;368.894,51;365.671,10;4.654.770,48;622.735,23;403.123,60;51,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.025.910,07;33.289,27;33.249,97;-369.209,04;-366.227,46;-365.484,03;-375.145,45;-386.113,96;-357.092,98;-355.120,31;-386.440,81;-368.894,51;-365.671,10;-3.628.860,41
1.551.000.0000;Transferências de Recursos do FNDE Referentes ao Programa Dinheiro Direto na Escola (PDDE);4.684,18;4.684,18;4.684,18;4.684,18;4.684,18;4.684,18;4.684,18;4.684,18;4.684,18;4.684,18;4.684,18;4.684,15;56.210,13;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-4.684,18;-4.684,18;-4.684,18;-4.684,18;-4.684,18;-4.684,18;-4.684,18;-4.684,18;-4.684,18;-4.684,18;-4.684,18;-4.684,15;-56.210,13
1.552.000.0000;PNAE - Transferências de Recursos do FNDE Referentes ao Programa Nacional de Alimentação Escolar;510,42;200.574,89;200.574,89;510,42;400.639,36;200.574,89;200.574,89;200.574,88;510,42;510,42;510,42;510,46;1.406.576,36;3.667,11;105.984,19;103.155,50;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;212.806,80;3.156,69;-94.590,70;-97.419,39;-510,42;-400.639,36;-200.574,89;-200.574,89;-200.574,88;-510,42;-510,42;-510,42;-510,46;-1.193.769,56
1.553.000.0000;PNATE - Transferências de Recursos do FNDE Referentes ao Programa Nacional de Apoio ao Transporte Escolar;2.002,20;2.002,20;105.259,83;2.002,20;2.002,20;2.002,20;2.002,20;2.002,20;105.259,82;2.002,20;2.002,20;2.002,20;230.541,65;1.296,23;1.123,11;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.419,34;-705,97;-879,09;-105.259,83;-2.002,20;-2.002,20;-2.002,20;-2.002,20;-2.002,20;-105.259,82;-2.002,20;-2.002,20;-2.002,20;-228.122,31
1.569.000.0000;Outras Transferências de Recursos do FNDE;626.045,98;626.045,98;626.045,98;626.045,98;626.045,98;626.045,98;626.045,98;626.045,98;626.045,98;626.045,98;626.045,98;626.045,99;7.512.551,77;4.224,71;4.102,39;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8.327,10;-621.821,27;-621.943,59;-626.045,98;-626.045,98;-626.045,98;-626.045,98;-626.045,98;-626.045,98;-626.045,98;-626.045,98;-626.045,98;-626.045,99;-7.504.224,67
1.570.000.0000;Transferências do Governo Federal referentes a Convênios e Instrumentos Congêneres vinculados à Educação;20.662,34;20.662,34;20.662,34;20.662,34;20.662,34;20.662,34;20.662,34;20.662,34;20.662,34;20.662,34;20.662,34;20.662,33;247.948,07;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-20.662,34;-20.662,34;-20.662,34;-20.662,34;-20.662,34;-20.662,34;-20.662,34;-20.662,34;-20.662,34;-20.662,34;-20.662,34;-20.662,33;-247.948,07
1.571.000.0000;Transferências do Estado referentes a Convênios e Instrumentos Congêneres vinculados à Educação;950,06;950,06;950,06;950,06;950,06;950,06;950,06;950,06;950,06;950,06;950,06;950,05;11.400,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-950,06;-950,06;-950,06;-950,06;-950,06;-950,06;-950,06;-950,06;-950,06;-950,06;-950,06;-950,05;-11.400,71
1.576.000.0000;Transferências de Recursos dos Estados para programas de Educação;1.784,65;1.784,65;1.784,65;1.784,65;1.784,65;1.784,65;1.784,65;1.784,65;1.784,65;1.784,65;1.784,65;1.784,64;21.415,79;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-1.784,65;-1.784,65;-1.784,65;-1.784,65;-1.784,65;-1.784,65;-1.784,65;-1.784,65;-1.784,65;-1.784,65;-1.784,65;-1.784,64;-21.415,79
1.576.001.0000;PTE- Transferências de Recursos dos Estados para Programas de Educação (Transferências de Recursos para o Programa Estadual de Transporte Escolar);10.137,47;117.062,74;117.062,74;117.062,74;117.062,74;117.062,74;117.062,74;117.062,74;117.062,74;117.062,74;117.062,70;10.137,42;1.190.902,25;10.789,03;178.227,27;168.958,65;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;357.974,95;651,56;61.164,53;51.895,91;-117.062,74;-117.062,74;-117.062,74;-117.062,74;-117.062,74;-117.062,74;-117.062,74;-117.062,70;-10.137,42;-832.927,30
1.599.003.0000;Outros Recursos Vinculados à Educação (Serviços Educacionais);993,79;993,79;993,79;993,79;993,79;993,79;993,79;993,79;993,79;993,79;993,79;993,75;11.925,44;9,16;7,51;78,78;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;95,45;-984,63;-986,28;-915,01;-993,79;-993,79;-993,79;-993,79;-993,79;-993,79;-993,79;-993,79;-993,75;-11.829,99
1.600.000.0000;Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde;10.670.899,87;10.702.997,69;9.788.075,22;10.121.668,57;8.850.708,57;10.012.950,85;10.032.433,89;10.056.956,02;9.833.600,26;11.276.374,33;9.534.511,26;10.042.129,61;120.923.306,14;11.633.974,49;7.868.248,91;7.984.089,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;27.486.312,56;963.074,62;-2.834.748,78;-1.803.986,06;-10.121.668,57;-8.850.708,57;-10.012.950,85;-10.032.433,89;-10.056.956,02;-9.833.600,26;-11.276.374,33;-9.534.511,26;-10.042.129,61;-93.436.993,58
1.600.000.3110;Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;15.456,66;13.392,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28.848,99;15.456,66;13.392,33;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;28.848,99
1.600.000.3120;Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Manutenção das Ações e Serviços Públicos de Saúde;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;29.064,55;25.182,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;54.247,26;29.064,55;25.182,71;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;54.247,26
1.601.000.0000;Transferências Fundo a Fundo de Recursos do SUS provenientes do Governo Federal - Bloco de Estruturação da Rede de Serviços Públicos de Saúde;4.304,09;4.304,09;4.304,09;4.304,09;4.304,09;4.304,09;4.304,09;4.304,09;4.304,09;4.304,09;4.304,09;4.304,09;51.649,08;3.712,53;3.215,40;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6.927,93;-591,56;-1.088,69;-4.304,09;-4.304,09;-4.304,09;-4.304,09;-4.304,09;-4.304,09;-4.304,09;-4.304,09;-4.304,09;-4.304,09;-44.721,15
1.604.000.0000;Transferências provenientes do Governo Federal destinadas ao vencimento dos agentes comunitários de saúde e dos agentes de combate às endemias;633.380,93;633.380,93;633.380,93;630.340,52;630.340,52;630.340,52;630.340,52;630.340,52;627.278,92;627.278,92;618.157,67;1.245.436,54;8.169.997,44;0,00;1.303.284,00;664.610,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.967.894,00;-633.380,93;669.903,07;31.229,07;-630.340,52;-630.340,52;-630.340,52;-630.340,52;-630.340,52;-627.278,92;-627.278,92;-618.157,67;-1.245.436,54;-6.202.103,44
1.605.000.0000;Assistência Financeira da União destinada à complementação ao pagamento dos pisos salariais para profissionais da enfermagem.;1.298.313,83;1.271.943,80;1.291.745,73;1.306.278,54;1.326.360,63;1.283.706,60;2.558.425,07;1.268.698,19;5.019,29;1.267.040,45;1.246.693,22;3.770.277,15;17.894.502,50;14.471,36;1.265.230,87;1.219.327,18;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;2.499.029,41;-1.283.842,47;-6.712,93;-72.418,55;-1.306.278,54;-1.326.360,63;-1.283.706,60;-2.558.425,07;-1.268.698,19;-5.019,29;-1.267.040,45;-1.246.693,22;-3.770.277,15;-15.395.473,09
