Código;Especificação;Previsto Janeiro;Previsto Fevereiro;Previsto Março;Previsto Abril;Previsto Maio;Previsto Junho;Previsto Julho;Previsto Agosto;Previsto Setembro;Previsto Outubro;Previsto Novembro;Previsto Dezembro;Total Previsto;Realizado Janeiro;Realizado Fevereiro;Realizado Março;Realizado Abril;Realizado Maio;Realizado Junho;Realizado Julho;Realizado Agosto;Realizado Setembro;Realizado Outubro;Realizado Novembro;Realizado Dezembro;Total Realizado;Diferença Janeiro;Diferença Fevereiro;Diferença Março;Diferença Abril;Diferença Maio;Diferença Junho;Diferença Julho;Diferença Agosto;Diferença Setembro;Diferença Outubro;Diferença Novembro;Diferença Dezembro;Total Diferença
1.540.000.1070;Transferências do FUNDEB - Impostos e Transferências de Impostos (70% -Pagto da Remuneração dos Profissionais da Educação Básica em Efetivo Exercício);3.448.450,91;2.933.683,77;3.315.143,60;2.575.734,98;3.662.721,41;2.888.503,25;2.749.566,77;3.586.918,02;2.777.083,69;3.077.590,53;3.610.313,83;2.715.607,53;37.341.318,29;3.499.623,36;2.580.476,38;3.233.996,18;2.868.556,05;3.141.050,69;2.558.941,11;2.320.369,48;2.839.018,84;2.406.107,23;2.792.591,29;2.555.768,51;2.912.746,78;33.709.245,90;51.172,45;-353.207,39;-81.147,42;292.821,07;-521.670,72;-329.562,14;-429.197,29;-747.899,18;-370.976,46;-284.999,24;-1.054.545,32;197.139,25;-3.632.072,39
1.550.000.0000;QESE - Transferência do Salário-Educação;251.366,68;251.366,68;251.366,68;251.366,68;251.366,68;251.366,68;251.366,68;251.366,68;251.366,68;251.366,68;251.366,68;251.366,88;3.016.400,36;409.547,41;267.890,20;287.576,41;262.983,02;265.284,30;288.923,42;309.503,79;296.335,65;285.681,45;283.343,43;277.522,60;272.788,37;3.507.380,05;158.180,73;16.523,52;36.209,73;11.616,34;13.917,62;37.556,74;58.137,11;44.968,97;34.314,77;31.976,75;26.155,92;21.421,49;490.979,69
1.550.000.0000;QESE - Transferência do Salário-Educação;251.366,68;251.366,68;251.366,68;251.366,68;251.366,68;251.366,68;251.366,68;251.366,68;251.366,68;251.366,68;251.366,68;251.366,88;3.016.400,36;409.547,41;267.890,20;287.576,41;262.983,02;265.284,30;288.923,42;309.503,79;296.335,65;285.681,45;283.343,43;277.522,60;272.788,37;3.507.380,05;158.180,73;16.523,52;36.209,73;11.616,34;13.917,62;37.556,74;58.137,11;44.968,97;34.314,77;31.976,75;26.155,92;21.421,49;490.979,69
1.551.000.0000;Transferências de Recursos do FNDE Referentes ao Programa Dinheiro Direto na Escola (PDDE);4.269,01;4.269,01;4.269,01;4.269,01;4.269,01;4.269,01;4.269,01;4.269,01;4.269,01;4.269,01;4.269,01;4.269,08;51.228,19;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;-4.269,01;-4.269,01;-4.269,01;-4.269,01;-4.269,01;-4.269,01;-4.269,01;-4.269,01;-4.269,01;-4.269,01;-4.269,01;-4.269,08;-51.228,19
1.552.000.0000;PNAE - Transferências de Recursos do FNDE Referentes ao Programa Nacional de Alimentação Escolar;75.933,70;75.933,70;75.933,70;75.933,70;75.933,70;75.933,70;75.933,70;75.933,70;75.933,70;75.933,70;75.933,70;75.933,82;911.204,52;3,10;78.909,09;106.729,57;106.272,30;106.360,98;106.496,30;107.128,34;106.754,64;106.842,20;106.462,19;106.399,65;132,29;1.038.490,65;-75.930,60;2.975,39;30.795,87;30.338,60;30.427,28;30.562,60;31.194,64;30.820,94;30.908,50;30.528,49;30.465,95;-75.801,53;127.286,13
1.552.000.0000;PNAE - Transferências de Recursos do FNDE Referentes ao Programa Nacional de Alimentação Escolar;75.933,70;75.933,70;75.933,70;75.933,70;75.933,70;75.933,70;75.933,70;75.933,70;75.933,70;75.933,70;75.933,70;75.933,82;911.204,52;3,10;78.909,09;106.729,57;106.272,30;106.360,98;106.496,30;107.128,34;106.754,64;106.842,20;106.462,19;106.399,65;132,29;1.038.490,65;-75.930,60;2.975,39;30.795,87;30.338,60;30.427,28;30.562,60;31.194,64;30.820,94;30.908,50;30.528,49;30.465,95;-75.801,53;127.286,13
1.553.000.0000;PNATE - Transferências de Recursos do FNDE Referentes ao Programa Nacional de Apoio ao Transporte Escolar;17.113,51;17.113,51;17.113,51;17.113,51;17.113,51;17.113,51;17.113,51;17.113,51;17.113,51;17.113,51;17.113,51;17.113,63;205.362,24;1.559,87;1.294,86;1.872,30;1.443,79;70.497,44;2.088,46;19.261,14;36.613,83;37.087,35;21.630,96;21.409,19;26.180,24;240.939,43;-15.553,64;-15.818,65;-15.241,21;-15.669,72;53.383,93;-15.025,05;2.147,63;19.500,32;19.973,84;4.517,45;4.295,68;9.066,61;35.577,19
1.553.000.0000;PNATE - Transferências de Recursos do FNDE Referentes ao Programa Nacional de Apoio ao Transporte Escolar;17.113,51;17.113,51;17.113,51;17.113,51;17.113,51;17.113,51;17.113,51;17.113,51;17.113,51;17.113,51;17.113,51;17.113,63;205.362,24;1.559,87;1.294,86;1.872,30;1.443,79;70.497,44;2.088,46;19.261,14;36.613,83;37.087,35;21.630,96;21.409,19;26.180,24;240.939,43;-15.553,64;-15.818,65;-15.241,21;-15.669,72;53.383,93;-15.025,05;2.147,63;19.500,32;19.973,84;4.517,45;4.295,68;9.066,61;35.577,19
1.569.000.0000;Outras Transferências de Recursos do FNDE;60.786,63;60.786,63;60.786,63;60.786,63;60.786,63;60.786,63;60.786,63;60.786,63;60.786,63;60.786,63;60.786,63;60.786,81;729.439,74;9,43;9,40;9,19;9,10;9,32;10,14;9,73;125,24;152,41;154,53;143,30;508.779,21;509.421,00;-60.777,20;-60.777,23;-60.777,44;-60.777,53;-60.777,31;-60.776,49;-60.776,90;-60.661,39;-60.634,22;-60.632,10;-60.643,33;447.992,40;-220.018,74
1.569.000.0000;Outras Transferências de Recursos do FNDE;60.786,63;60.786,63;60.786,63;60.786,63;60.786,63;60.786,63;60.786,63;60.786,63;60.786,63;60.786,63;60.786,63;60.786,81;729.439,74;9,43;9,40;9,19;9,10;9,32;10,14;9,73;125,24;152,41;154,53;143,30;508.779,21;509.421,00;-60.777,20;-60.777,23;-60.777,44;-60.777,53;-60.777,31;-60.776,49;-60.776,90;-60.661,39;-60.634,22;-60.632,10;-60.643,33;447.992,40;-220.018,74
