Código;Especificação;Previsto Janeiro;Previsto Fevereiro;Previsto Março;Previsto Abril;Previsto Maio;Previsto Junho;Previsto Julho;Previsto Agosto;Previsto Setembro;Previsto Outubro;Previsto Novembro;Previsto Dezembro;Total Previsto;Realizado Janeiro;Realizado Fevereiro;Realizado Março;Realizado Abril;Realizado Maio;Realizado Junho;Realizado Julho;Realizado Agosto;Realizado Setembro;Realizado Outubro;Realizado Novembro;Realizado Dezembro;Total Realizado;Diferença Janeiro;Diferença Fevereiro;Diferença Março;Diferença Abril;Diferença Maio;Diferença Junho;Diferença Julho;Diferença Agosto;Diferença Setembro;Diferença Outubro;Diferença Novembro;Diferença Dezembro;Total Diferença
1.1.1.2.50.0.1.00.00.00;Imposto s/ Propriedade Predial e Territorial Urbana-IPTU;138.500,40;209.078,59;469.740,71;3.621.762,55;11.327.806,97;2.747.532,64;2.805.505,67;2.648.970,97;2.786.539,85;2.845.888,70;2.468.280,18;2.137.517,99;34.207.125,22;49.407,42;-375,26;10.989,21;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;60.021,37;-89.092,98;-209.453,85;-458.751,50;-3.621.762,55;-11.327.806,97;-2.747.532,64;-2.805.505,67;-2.648.970,97;-2.786.539,85;-2.845.888,70;-2.468.280,18;-2.137.517,99;-34.147.103,85
1.1.1.2.50.0.2.00.00.00;Multas/Juros de Mora s/IPTU;1.726,20;0,00;4,39;31,90;5.060,56;9.421,02;17.342,50;47.826,76;38.170,37;47.334,26;20.858,85;17.430,64;205.207,45;6.156,35;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;6.156,35;4.430,15;0,00;-4,39;-31,90;-5.060,56;-9.421,02;-17.342,50;-47.826,76;-38.170,37;-47.334,26;-20.858,85;-17.430,64;-199.051,10
1.1.1.2.50.0.3.00.00.00;IPTU - Dívida Ativa;242.673,95;210.032,14;281.464,50;184.972,93;174.504,35;144.733,25;164.184,69;333.992,62;545.247,73;827.968,66;484.648,23;377.808,96;3.972.232,01;431.134,68;273.869,27;225.601,16;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;930.605,11;188.460,73;63.837,13;-55.863,34;-184.972,93;-174.504,35;-144.733,25;-164.184,69;-333.992,62;-545.247,73;-827.968,66;-484.648,23;-377.808,96;-3.041.626,90
1.1.1.2.50.0.4.00.00.00;Multas/Juros Mora Div.Ativ.IPTU;112.649,05;100.463,47;110.800,19;87.005,60;87.293,86;72.858,90;47.011,08;56.539,03;56.673,90;118.884,72;254.501,40;189.104,41;1.293.785,61;122.887,23;101.493,47;82.516,31;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;306.897,01;10.238,18;1.030,00;-28.283,88;-87.005,60;-87.293,86;-72.858,90;-47.011,08;-56.539,03;-56.673,90;-118.884,72;-254.501,40;-189.104,41;-986.888,60
1.1.1.2.53.0.1.00.00.00;"Imp.s/ Transm.""Inter Vivos"" Bens Imóv.Direitos Reais s/Imóveis";241.866,76;648.708,09;402.258,38;536.577,12;450.676,43;493.378,96;479.476,46;513.308,88;517.768,25;663.216,08;443.527,38;373.337,68;5.764.100,47;669.230,85;472.106,15;383.163,41;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;1.524.500,41;427.364,09;-176.601,94;-19.094,97;-536.577,12;-450.676,43;-493.378,96;-479.476,46;-513.308,88;-517.768,25;-663.216,08;-443.527,38;-373.337,68;-4.239.600,06
1.1.1.3.03.1.1.00.00.00;Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal;1.378.110,29;1.833.555,63;599.885,95;2.648.091,99;436.363,40;1.306.235,66;1.383.607,61;1.427.424,22;1.383.363,31;1.360.043,37;1.968.134,43;3.623.474,96;19.348.290,82;1.122.652,89;1.207.459,11;1.013.115,24;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;3.343.227,24;-255.457,40;-626.096,52;413.229,29;-2.648.091,99;-436.363,40;-1.306.235,66;-1.383.607,61;-1.427.424,22;-1.383.363,31;-1.360.043,37;-1.968.134,43;-3.623.474,96;-16.005.063,58
1.1.1.3.03.4.1.00.00.00;Imposto sobre a Renda - Retido na Fonte - Outros Rendimentos - Principal;119.162,59;180.360,22;137.593,28;272.943,63;205.592,94;252.601,92;174.269,31;259.307,88;135.829,44;181.464,35;158.469,00;337.073,21;2.414.667,77;83.892,81;155.616,04;65.203,06;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;304.711,91;-35.269,78;-24.744,18;-72.390,22;-272.943,63;-205.592,94;-252.601,92;-174.269,31;-259.307,88;-135.829,44;-181.464,35;-158.469,00;-337.073,21;-2.109.955,86
1.1.1.4.51.1.1.00.00.00;Imposto sobre Serviços de Qualquer Natureza - ISSQN;2.624.950,83;2.330.391,64;2.517.553,92;2.410.343,33;2.710.344,71;2.779.934,10;2.717.553,15;2.833.821,13;2.614.820,77;2.940.103,02;2.975.410,86;3.120.317,63;32.575.545,09;3.106.190,90;2.729.466,14;2.273.660,87;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;8.109.317,91;481.240,07;399.074,50;-243.893,05;-2.410.343,33;-2.710.344,71;-2.779.934,10;-2.717.553,15;-2.833.821,13;-2.614.820,77;-2.940.103,02;-2.975.410,86;-3.120.317,63;-24.466.227,18
1.1.1.4.51.1.2.00.00.00;Imposto sobre Serviços de Qualquer Natureza - Multas e Juros;73.303,16;68.851,90;33.830,29;28.288,01;37.754,58;49.760,08;55.015,11;36.441,55;37.808,10;73.909,50;43.625,36;64.233,29;602.820,93;43.540,70;27.506,88;17.623,37;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;88.670,95;-29.762,46;-41.345,02;-16.206,92;-28.288,01;-37.754,58;-49.760,08;-55.015,11;-36.441,55;-37.808,10;-73.909,50;-43.625,36;-64.233,29;-514.149,98
1.1.1.4.51.1.3.00.00.00;Imposto sobre Serviços de Qualquer Natureza - Dívida Ativa;87.223,81;49.343,85;54.778,03;38.248,93;41.954,10;195.995,51;47.809,08;94.486,18;188.722,76;200.853,70;142.166,08;104.236,72;1.245.818,75;62.040,11;91.972,93;56.405,67;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;210.418,71;-25.183,70;42.629,08;1.627,64;-38.248,93;-41.954,10;-195.995,51;-47.809,08;-94.486,18;-188.722,76;-200.853,70;-142.166,08;-104.236,72;-1.035.400,04
