Entidade;Número do Organograma;Descrição do organograma;Número da ação;Descrição da ação;Número do programa;Descrição do programa;Número da função;Descrição da função;Número da subfunção;Descrição da subfunção;Número da despesa;Natureza de Despesa;Descrição da natureza de despesa;Recurso;Descrição do recurso;Valor empenhado da despesa
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.015;MANUTENÇAO DO TRANSPORTE DE SAÚDE;3;MEDIA E ALTA COMPLEXIDADE ASSISTENCIAL;10;Saúde;302;Assistência Hospitalar e Ambulatorial;128;3.3.90.33.99.00.00.00;OUTRAS DESPESAS COM LOCOMOÇÃO;1.500.000.1002;RECURSOS NÃO VINCULADOS DE IMPOSTOS (SAÚDE);234.500,00
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.015;MANUTENÇAO DO TRANSPORTE DE SAÚDE;3;MEDIA E ALTA COMPLEXIDADE ASSISTENCIAL;10;Saúde;302;Assistência Hospitalar e Ambulatorial;130;3.3.90.39.29.00.00.00;SERVIÇOS DE ENERGIA ELÉTRICA;1.500.000.1002;RECURSOS NÃO VINCULADOS DE IMPOSTOS (SAÚDE);6.000,00
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.015;MANUTENÇAO DO TRANSPORTE DE SAÚDE;3;MEDIA E ALTA COMPLEXIDADE ASSISTENCIAL;10;Saúde;302;Assistência Hospitalar e Ambulatorial;130;3.3.90.39.99.00.00.00;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;2.621.000.0000;TRANSFERÊNCIAS FUNDO A FUNDO DE RECURSOS DO SUS PROVENIENTES DO GOVERNO ESTADUAL;273.096,47
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.043;MANUTENÇÃO DE REDE DE CUIDADOS A PESSOA COM DEFICIÊNCIA;3;MEDIA E ALTA COMPLEXIDADE ASSISTENCIAL;10;Saúde;302;Assistência Hospitalar e Ambulatorial;159;3.3.90.39.99.00.00.00;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;1.600.000.0000;TRANSFERÊNCIAS FUNDO A FUNDO DE RECURSOS DO SUS PROVENIENTES DO GOVERNO FEDERAL - BLOCO DE MANUTENÇÃO DAS AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE;379.442,80
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.049;MANUTENÇÃO DA UNIDADE DE PRONTO ATENDIMENTO (UPA);3;MEDIA E ALTA COMPLEXIDADE ASSISTENCIAL;10;Saúde;302;Assistência Hospitalar e Ambulatorial;163;3.3.90.39.29.00.00.00;SERVIÇOS DE ENERGIA ELÉTRICA;1.500.000.1002;RECURSOS NÃO VINCULADOS DE IMPOSTOS (SAÚDE);30.000,00
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.345;MANUTENÇÃO DO PROGRAMA A SAÚDE DO PACIENTE ONCOLÓGICO;3;MEDIA E ALTA COMPLEXIDADE ASSISTENCIAL;10;Saúde;302;Assistência Hospitalar e Ambulatorial;180;3.3.90.39.99.00.00.00;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;1.500.000.1002;RECURSOS NÃO VINCULADOS DE IMPOSTOS (SAÚDE);123.786,08
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.642;MANUTENÇÃO DA REDE DE ATENÇÃO PSICOSSOCIAL - RAPS;3;MEDIA E ALTA COMPLEXIDADE ASSISTENCIAL;10;Saúde;302;Assistência Hospitalar e Ambulatorial;200;3.3.90.30.16.00.00.00;MATERIAL DE EXPEDIENTE;2.621.000.0000;TRANSFERÊNCIAS FUNDO A FUNDO DE RECURSOS DO SUS PROVENIENTES DO GOVERNO ESTADUAL;5.640,00
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.642;MANUTENÇÃO DA REDE DE ATENÇÃO PSICOSSOCIAL - RAPS;3;MEDIA E ALTA COMPLEXIDADE ASSISTENCIAL;10;Saúde;302;Assistência Hospitalar e Ambulatorial;202;3.3.90.39.29.00.00.00;SERVIÇOS DE ENERGIA ELÉTRICA;1.500.000.1002;RECURSOS NÃO VINCULADOS DE IMPOSTOS (SAÚDE);30.000,00
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.642;MANUTENÇÃO DA REDE DE ATENÇÃO PSICOSSOCIAL - RAPS;3;MEDIA E ALTA COMPLEXIDADE ASSISTENCIAL;10;Saúde;302;Assistência Hospitalar e Ambulatorial;202;3.3.90.39.99.00.00.00;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;1.600.000.0000;TRANSFERÊNCIAS FUNDO A FUNDO DE RECURSOS DO SUS PROVENIENTES DO GOVERNO FEDERAL - BLOCO DE MANUTENÇÃO DAS AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE;6.776.996,76
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.642;MANUTENÇÃO DA REDE DE ATENÇÃO PSICOSSOCIAL - RAPS;3;MEDIA E ALTA COMPLEXIDADE ASSISTENCIAL;10;Saúde;302;Assistência Hospitalar e Ambulatorial;202;3.3.90.39.99.00.00.00;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;2.621.000.0000;TRANSFERÊNCIAS FUNDO A FUNDO DE RECURSOS DO SUS PROVENIENTES DO GOVERNO ESTADUAL;1.788.999,98
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.654;MANUTENÇÃO DA REDE DE ATENÇÃO ESPECIALIZADA;3;MEDIA E ALTA COMPLEXIDADE ASSISTENCIAL;10;Saúde;302;Assistência Hospitalar e Ambulatorial;209;3.3.90.39.36.00.00.00;SERVIÇO MÉDICO-HOSPITALAR, ODONT. E LABORATORIAL;1.500.000.1002;RECURSOS NÃO VINCULADOS DE IMPOSTOS (SAÚDE);4.049.356,81
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.654;MANUTENÇÃO DA REDE DE ATENÇÃO ESPECIALIZADA;3;MEDIA E ALTA COMPLEXIDADE ASSISTENCIAL;10;Saúde;302;Assistência Hospitalar e Ambulatorial;209;3.3.90.39.36.00.00.00;SERVIÇO MÉDICO-HOSPITALAR, ODONT. E LABORATORIAL;1.600.000.0000;TRANSFERÊNCIAS FUNDO A FUNDO DE RECURSOS DO SUS PROVENIENTES DO GOVERNO FEDERAL - BLOCO DE MANUTENÇÃO DAS AÇÕES E SERVIÇOS PÚBLICOS DE SAÚDE;48.010.831,16
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.654;MANUTENÇÃO DA REDE DE ATENÇÃO ESPECIALIZADA;3;MEDIA E ALTA COMPLEXIDADE ASSISTENCIAL;10;Saúde;302;Assistência Hospitalar e Ambulatorial;209;3.3.90.39.36.00.00.00;SERVIÇO MÉDICO-HOSPITALAR, ODONT. E LABORATORIAL;1.621.000.0000;TRANSFERÊNCIAS FUNDO A FUNDO DE RECURSOS DO SUS PROVENIENTES DO GOVERNO ESTADUAL;14.652.463,68
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.654;MANUTENÇÃO DA REDE DE ATENÇÃO ESPECIALIZADA;3;MEDIA E ALTA COMPLEXIDADE ASSISTENCIAL;10;Saúde;302;Assistência Hospitalar e Ambulatorial;209;3.3.90.39.36.00.00.00;SERVIÇO MÉDICO-HOSPITALAR, ODONT. E LABORATORIAL;2.621.000.0000;TRANSFERÊNCIAS FUNDO A FUNDO DE RECURSOS DO SUS PROVENIENTES DO GOVERNO ESTADUAL;24.000,00
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.654;MANUTENÇÃO DA REDE DE ATENÇÃO ESPECIALIZADA;3;MEDIA E ALTA COMPLEXIDADE ASSISTENCIAL;10;Saúde;302;Assistência Hospitalar e Ambulatorial;210;3.3.90.92.99.00.00.00;OUTRAS DESPESAS DE EXERCÍCIOS ANTERIORES;2.605.000.0000;ASSISTÊNCIA FINANCEIRA DA UNIÃO DESTINADA À COMPLEMENTAÇÃO AO PAGAMENTO DOS PISOS SALARIAIS PARA PROFISSIONAIS DA ENFERMAGEM.;1.177.628,45
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.685;MANUTENÇÃO DO CEM;3;MEDIA E ALTA COMPLEXIDADE ASSISTENCIAL;10;Saúde;302;Assistência Hospitalar e Ambulatorial;223;3.3.90.39.29.00.00.00;SERVIÇOS DE ENERGIA ELÉTRICA;1.500.000.1002;RECURSOS NÃO VINCULADOS DE IMPOSTOS (SAÚDE);55.000,00
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.685;MANUTENÇÃO DO CEM;3;MEDIA E ALTA COMPLEXIDADE ASSISTENCIAL;10;Saúde;302;Assistência Hospitalar e Ambulatorial;223;3.3.90.39.99.00.00.00;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;1.500.000.1002;RECURSOS NÃO VINCULADOS DE IMPOSTOS (SAÚDE);228.017,46
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.009;MANUTENÇAO DA VIGILANCIA SANITARIA;4;VIGILANCIA EM SAUDE;10;Saúde;304;Vigilância Sanitária;253;3.3.90.39.99.00.00.00;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;2.621.000.0000;TRANSFERÊNCIAS FUNDO A FUNDO DE RECURSOS DO SUS PROVENIENTES DO GOVERNO ESTADUAL;26.062,29
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.010;MANUTENÇAO DA VIGILÂNCIA EPIDEMIOLÓGICA;4;VIGILANCIA EM SAUDE;10;Saúde;305;Vigilância Epidemiológica;264;3.3.90.30.16.00.00.00;MATERIAL DE EXPEDIENTE;2.621.000.0000;TRANSFERÊNCIAS FUNDO A FUNDO DE RECURSOS DO SUS PROVENIENTES DO GOVERNO ESTADUAL;13.160,00
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.010;MANUTENÇAO DA VIGILÂNCIA EPIDEMIOLÓGICA;4;VIGILANCIA EM SAUDE;10;Saúde;305;Vigilância Epidemiológica;265;3.3.90.39.99.00.00.00;OUTROS SERVIÇOS DE TERCEIROS - PESSOA JURÍDICA;2.621.000.0000;TRANSFERÊNCIAS FUNDO A FUNDO DE RECURSOS DO SUS PROVENIENTES DO GOVERNO ESTADUAL;23.059,83
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;2.014;MANUTENÇÃO DO CENTRO DE TESTAGEM E ACONSELHAMENTO - IST/AIDS;4;VIGILANCIA EM SAUDE;10;Saúde;305;Vigilância Epidemiológica;277;3.3.90.39.29.00.00.00;SERVIÇOS DE ENERGIA ELÉTRICA;1.500.000.1002;RECURSOS NÃO VINCULADOS DE IMPOSTOS (SAÚDE);10.000,00
