Entidade;Número do Organograma;Descrição do organograma;Número da ação;Descrição da ação;Número do programa;Descrição do programa;Número da função;Descrição da função;Número da subfunção;Descrição da subfunção;Número da despesa;Natureza de Despesa;Descrição da natureza de despesa;Recurso;Descrição do recurso;Valor empenhado da despesa
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;0.001;PAGAMENTOS DE PRECATÓRIOS E SENTENÇAS JUDICIAIS CONDENATÓRIAS DA SAÚDE;0;ENCARGOS DO MUNICIPIO;10;Saúde;122;Administração Geral;2;3.3.90.91.99.00.00.00;OUTRAS SENTENÇAS JUDICIAIS E DECISÕES JUDICIAIS;1.500.000.1002;RECURSOS NÃO VINCULADOS DE IMPOSTOS (SAÚDE);256.545,56
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;1.009;CONSTRUÇÃO, REFORMA, READEQUAÇÃO E AMPLIAÇÃO DE ACADEMIAS DE SAÚDE;2;ATENÇAO BASICA;10;Saúde;301;Atenção Básica;58;4.4.90.51.01.00.00.00;OBRAS E INSTALAÇÕES DE DOMÍNIO PÚBLICO;1.500.000.1002;RECURSOS NÃO VINCULADOS DE IMPOSTOS (SAÚDE);99.532,20
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;1.288;CONSTRUÇAO, REFORMA, READEQUAÇAO E AMPLIAÇAO DE UBS;2;ATENÇAO BASICA;10;Saúde;301;Atenção Básica;61;4.4.90.51.01.00.00.00;OBRAS E INSTALAÇÕES DE DOMÍNIO PÚBLICO;1.500.000.1002;RECURSOS NÃO VINCULADOS DE IMPOSTOS (SAÚDE);9.867,55
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;1.288;CONSTRUÇAO, REFORMA, READEQUAÇAO E AMPLIAÇAO DE UBS;2;ATENÇAO BASICA;10;Saúde;301;Atenção Básica;61;4.4.90.51.01.00.00.00;OBRAS E INSTALAÇÕES DE DOMÍNIO PÚBLICO;2.621.000.0000;TRANSFERÊNCIAS FUNDO A FUNDO DE RECURSOS DO SUS PROVENIENTES DO GOVERNO ESTADUAL;7.111.347,54
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;1.288;CONSTRUÇAO, REFORMA, READEQUAÇAO E AMPLIAÇAO DE UBS;2;ATENÇAO BASICA;10;Saúde;301;Atenção Básica;61;4.4.90.51.01.00.00.00;OBRAS E INSTALAÇÕES DE DOMÍNIO PÚBLICO;2.706.000.3110;TRANSFERÊNCIA ESPECIAL DA UNIÃO - TRANSFERÊNCIAS DA UNIÃO DECORRENTES DE EMENDAS PARLAMENTARES INDIVIDUAIS;1.316.382,05
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;1.288;CONSTRUÇAO, REFORMA, READEQUAÇAO E AMPLIAÇAO DE UBS;2;ATENÇAO BASICA;10;Saúde;301;Atenção Básica;61;4.4.90.51.03.00.00.00;OBRAS E INSTALAÇÕES DE NATUREZA INDUSTRIAL;2.706.000.3110;TRANSFERÊNCIA ESPECIAL DA UNIÃO - TRANSFERÊNCIAS DA UNIÃO DECORRENTES DE EMENDAS PARLAMENTARES INDIVIDUAIS;232.355,04
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;1.288;CONSTRUÇAO, REFORMA, READEQUAÇAO E AMPLIAÇAO DE UBS;2;ATENÇAO BASICA;10;Saúde;301;Atenção Básica;280;3.3.90.47.00.00.00.00;OBRIGAÇÕES TRIBUTÁRIAS E CONTRIBUTIVAS;2.706.000.3110;TRANSFERÊNCIA ESPECIAL DA UNIÃO - TRANSFERÊNCIAS DA UNIÃO DECORRENTES DE EMENDAS PARLAMENTARES INDIVIDUAIS;11,10
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;1.336;AQUISIÇÃO DE INSUMOS PARA A UNID. BÁSICA DE SAÚDE (UBS) - SANTA EFIGÊNIA;2;ATENÇAO BASICA;10;Saúde;301;Atenção Básica;62;3.3.90.30.26.00.00.00;MATERIAL ELÉTRICO E ELETRÔNICO;1.500.000.1002;RECURSOS NÃO VINCULADOS DE IMPOSTOS (SAÚDE);22.049,06
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;1.337;AQUISIÇÃO DE INSUMOS PARA A UNID. BÁSICA DE SAÚDE (UBS) - SENHORA DAS DORES;2;ATENÇAO BASICA;10;Saúde;301;Atenção Básica;63;3.3.90.30.24.00.00.00;MATERIAL PARA MANUTENÇÃO DE BENS IMÓVEIS;1.500.000.1002;RECURSOS NÃO VINCULADOS DE IMPOSTOS (SAÚDE);22.046,86
FUNDO MUNICIPAL DE SAÚDE DE BARBACENA;18.002;FUNDO MUNICIPAL DE SAUDE;1.338;AQUISIÇÃO DE INSUMOS PARA A UNID. BÁSICA DE SAÚDE (UBS) - SÃO FRANCISCO;2;ATENÇAO BASICA;10;Saúde;301;Atenção Básica;64;3.3.90.30.24.00.00.00;MATERIAL PARA MANUTENÇÃO DE BENS IMÓVEIS;1.500.000.1002;RECURSOS NÃO VINCULADOS DE IMPOSTOS (SAÚDE);22.048,30
