Código;Especificação;Previsto Janeiro;Previsto Fevereiro;Previsto Março;Previsto Abril;Previsto Maio;Previsto Junho;Previsto Julho;Previsto Agosto;Previsto Setembro;Previsto Outubro;Previsto Novembro;Previsto Dezembro;Total Previsto;Realizado Janeiro;Realizado Fevereiro;Realizado Março;Realizado Abril;Realizado Maio;Realizado Junho;Realizado Julho;Realizado Agosto;Realizado Setembro;Realizado Outubro;Realizado Novembro;Realizado Dezembro;Total Realizado;Diferença Janeiro;Diferença Fevereiro;Diferença Março;Diferença Abril;Diferença Maio;Diferença Junho;Diferença Julho;Diferença Agosto;Diferença Setembro;Diferença Outubro;Diferença Novembro;Diferença Dezembro;Total Diferença
1.1.1.2.50.0.1.00.00.00;Imposto s/ Propriedade Predial e Territorial Urbana-IPTU;37.081,25;173.455,65;2.349.193,54;9.855.903,01;2.014.302,08;1.943.608,18;1.998.994,15;2.076.957,84;1.876.095,86;1.926.433,47;1.938.873,62;441.347,23;26.632.245,88;59.238,57;311.673,10;2.600.370,28;10.356.416,44;2.322.856,08;2.205.943,57;2.191.794,59;2.114.477,05;2.164.965,41;2.290.575,42;2.076.178,32;285.487,15;28.979.975,98;22.157,32;138.217,45;251.176,74;500.513,43;308.554,00;262.335,39;192.800,44;37.519,21;288.869,55;364.141,95;137.304,70;-155.860,08;2.347.730,10
1.1.1.2.50.0.1.00.00.00;Imposto s/ Propriedade Predial e Territorial Urbana-IPTU;37.081,25;173.455,65;2.349.193,54;9.855.903,01;2.014.302,08;1.943.608,18;1.998.994,15;2.076.957,84;1.876.095,86;1.926.433,47;1.938.873,62;441.347,23;26.632.245,88;59.238,57;311.673,10;2.600.370,28;10.356.416,44;2.322.856,08;2.205.943,57;2.191.794,59;2.114.477,05;2.164.965,41;2.290.575,42;2.076.178,32;285.487,15;28.979.975,98;22.157,32;138.217,45;251.176,74;500.513,43;308.554,00;262.335,39;192.800,44;37.519,21;288.869,55;364.141,95;137.304,70;-155.860,08;2.347.730,10
1.1.1.2.50.0.2.00.00.00;Multas/Juros de Mora s/IPTU;2.709,23;10,90;38,83;2.115,53;29.333,46;44.730,98;14.619,29;12.742,12;13.164,88;18.562,63;20.959,28;27.142,08;186.129,21;10.396,40;0,00;21,89;4.011,16;15.721,29;20.933,47;26.708,46;90.324,70;26.688,65;33.115,66;37.508,86;45.344,07;310.774,61;7.687,17;-10,90;-16,94;1.895,63;-13.612,17;-23.797,51;12.089,17;77.582,58;13.523,77;14.553,03;16.549,58;18.201,99;124.645,40
1.1.1.2.50.0.2.00.00.00;Multas/Juros de Mora s/IPTU;2.709,23;10,90;38,83;2.115,53;29.333,46;44.730,98;14.619,29;12.742,12;13.164,88;18.562,63;20.959,28;27.142,08;186.129,21;10.396,40;0,00;21,89;4.011,16;15.721,29;20.933,47;26.708,46;90.324,70;26.688,65;33.115,66;37.508,86;45.344,07;310.774,61;7.687,17;-10,90;-16,94;1.895,63;-13.612,17;-23.797,51;12.089,17;77.582,58;13.523,77;14.553,03;16.549,58;18.201,99;124.645,40
1.1.1.2.50.0.3.00.00.00;IPTU - Dívida Ativa;226.470,30;214.655,01;210.537,45;212.889,88;159.739,81;139.979,07;140.367,30;140.887,61;135.912,17;341.181,61;457.348,26;841.874,31;3.221.842,78;808.972,59;600.586,39;433.910,92;285.958,87;235.401,31;227.097,00;402.629,26;197.344,40;184.617,62;167.035,36;159.842,50;159.502,11;3.862.898,33;582.502,29;385.931,38;223.373,47;73.068,99;75.661,50;87.117,93;262.261,96;56.456,79;48.705,45;-174.146,25;-297.505,76;-682.372,20;641.055,55
1.1.1.2.50.0.3.00.00.00;IPTU - Dívida Ativa;226.470,30;214.655,01;210.537,45;212.889,88;159.739,81;139.979,07;140.367,30;140.887,61;135.912,17;341.181,61;457.348,26;841.874,31;3.221.842,78;808.972,59;600.586,39;433.910,92;285.958,87;235.401,31;227.097,00;402.629,26;197.344,40;184.617,62;167.035,36;159.842,50;159.502,11;3.862.898,33;582.502,29;385.931,38;223.373,47;73.068,99;75.661,50;87.117,93;262.261,96;56.456,79;48.705,45;-174.146,25;-297.505,76;-682.372,20;641.055,55
1.1.1.2.50.0.4.00.00.00;Multas/Juros Mora Div.Ativ.IPTU;113.501,90;117.016,66;119.865,38;116.000,73;96.578,44;85.761,84;77.419,21;75.527,01;66.067,02;49.335,08;84.214,63;97.608,89;1.098.896,79;119.455,41;118.639,01;110.853,30;105.856,65;83.810,12;93.337,01;86.818,28;90.728,21;87.942,87;90.645,46;85.988,91;86.789,26;1.160.864,49;5.953,51;1.622,35;-9.012,08;-10.144,08;-12.768,32;7.575,17;9.399,07;15.201,20;21.875,85;41.310,38;1.774,28;-10.819,63;61.967,70
1.1.1.2.50.0.4.00.00.00;Multas/Juros Mora Div.Ativ.IPTU;113.501,90;117.016,66;119.865,38;116.000,73;96.578,44;85.761,84;77.419,21;75.527,01;66.067,02;49.335,08;84.214,63;97.608,89;1.098.896,79;119.455,41;118.639,01;110.853,30;105.856,65;83.810,12;93.337,01;86.818,28;90.728,21;87.942,87;90.645,46;85.988,91;86.789,26;1.160.864,49;5.953,51;1.622,35;-9.012,08;-10.144,08;-12.768,32;7.575,17;9.399,07;15.201,20;21.875,85;41.310,38;1.774,28;-10.819,63;61.967,70
1.1.1.2.53.0.1.00.00.00;"Imp.s/ Transm.""Inter Vivos"" Bens Imóv.Direitos Reais s/Imóveis";301.145,49;402.374,38;511.687,51;364.383,97;113.382,64;291.010,44;443.151,90;794.704,02;340.365,04;496.317,37;344.297,93;450.951,08;4.853.771,77;510.670,32;370.772,19;472.770,21;315.450,91;449.909,73;515.420,84;496.571,61;627.580,21;629.349,66;631.719,80;356.243,24;548.203,07;5.924.661,79;209.524,83;-31.602,19;-38.917,30;-48.933,06;336.527,09;224.410,40;53.419,71;-167.123,81;288.984,62;135.402,43;11.945,31;97.251,99;1.070.890,02
1.1.1.2.53.0.1.00.00.00;"Imp.s/ Transm.""Inter Vivos"" Bens Imóv.Direitos Reais s/Imóveis";301.145,49;402.374,38;511.687,51;364.383,97;113.382,64;291.010,44;443.151,90;794.704,02;340.365,04;496.317,37;344.297,93;450.951,08;4.853.771,77;510.670,32;370.772,19;472.770,21;315.450,91;449.909,73;515.420,84;496.571,61;627.580,21;629.349,66;631.719,80;356.243,24;548.203,07;5.924.661,79;209.524,83;-31.602,19;-38.917,30;-48.933,06;336.527,09;224.410,40;53.419,71;-167.123,81;288.984,62;135.402,43;11.945,31;97.251,99;1.070.890,02
