Código;Especificação;Previsto Janeiro;Previsto Fevereiro;Previsto Março;Previsto Abril;Previsto Maio;Previsto Junho;Previsto Julho;Previsto Agosto;Previsto Setembro;Previsto Outubro;Previsto Novembro;Previsto Dezembro;Total Previsto;Realizado Janeiro;Realizado Fevereiro;Realizado Março;Realizado Abril;Realizado Maio;Realizado Junho;Realizado Julho;Realizado Agosto;Realizado Setembro;Realizado Outubro;Realizado Novembro;Realizado Dezembro;Total Realizado;Diferença Janeiro;Diferença Fevereiro;Diferença Março;Diferença Abril;Diferença Maio;Diferença Junho;Diferença Julho;Diferença Agosto;Diferença Setembro;Diferença Outubro;Diferença Novembro;Diferença Dezembro;Total Diferença
1.500.000.0000;Recursos não vinculados de Impostos;14.077.086,07;19.569.534,95;15.212.607,13;20.936.345,76;13.342.051,34;13.347.249,01;14.759.038,19;12.732.154,78;12.457.851,03;12.940.531,21;12.949.959,56;16.382.030,91;178.706.439,94;15.479.924,31;20.931.549,68;14.712.827,84;18.358.546,66;20.147.715,95;15.907.179,91;17.753.561,12;14.993.459,78;17.572.160,50;15.056.478,42;15.775.971,01;22.125.295,76;208.814.670,94;1.402.838,24;1.362.014,73;-499.779,29;-2.577.799,10;6.805.664,61;2.559.930,90;2.994.522,93;2.261.305,00;5.114.309,47;2.115.947,21;2.826.011,45;5.743.264,85;30.108.231,00
1.500.000.1001;Recursos não vinculados de Impostos (Educação);2.369.933,25;2.697.294,80;2.804.496,83;5.048.516,43;2.472.759,50;2.481.708,56;3.197.750,50;2.480.381,92;2.682.577,12;2.532.052,88;2.410.766,79;3.246.579,22;34.424.817,80;2.375.823,57;2.963.186,25;2.199.098,62;4.408.906,64;4.683.153,81;2.969.804,69;3.949.238,63;2.940.805,29;3.920.481,43;3.157.229,27;3.172.622,83;4.967.000,57;41.707.351,60;5.890,32;265.891,45;-605.398,21;-639.609,79;2.210.394,31;488.096,13;751.488,13;460.423,37;1.237.904,31;625.176,39;761.856,04;1.720.421,35;7.282.533,80
1.500.000.1001;Recursos não vinculados de Impostos (Educação);2.369.933,25;2.697.294,80;2.804.496,83;5.048.516,43;2.472.759,50;2.481.708,56;3.197.750,50;2.480.381,92;2.682.577,12;2.532.052,88;2.410.766,79;3.246.579,22;34.424.817,80;2.375.823,57;2.963.186,25;2.199.098,62;4.408.906,64;4.683.153,81;2.969.804,69;3.949.238,63;2.940.805,29;3.920.481,43;3.157.229,27;3.172.622,83;4.967.000,57;41.707.351,60;5.890,32;265.891,45;-605.398,21;-639.609,79;2.210.394,31;488.096,13;751.488,13;460.423,37;1.237.904,31;625.176,39;761.856,04;1.720.421,35;7.282.533,80
1.500.000.1002;Recursos não vinculados de Impostos (Saúde);3.452.073,93;4.856.870,19;3.762.628,35;5.223.966,99;3.199.163,52;3.210.230,27;2.956.530,78;3.051.038,64;2.738.924,94;3.131.377,27;3.166.212,96;3.350.980,11;42.099.997,95;3.796.470,92;5.155.266,08;3.596.754,99;4.504.872,30;4.858.621,91;3.866.007,80;3.389.340,02;3.592.832,99;3.477.363,97;3.580.537,03;3.854.916,15;4.551.266,24;48.224.250,40;344.396,99;298.395,89;-165.873,36;-719.094,69;1.659.458,39;655.777,53;432.809,24;541.794,35;738.439,03;449.159,76;688.703,19;1.200.286,13;6.124.252,45
1.500.000.1002;Recursos não vinculados de Impostos (Saúde);3.452.073,93;4.856.870,19;3.762.628,35;5.223.966,99;3.199.163,52;3.210.230,27;2.956.530,78;3.051.038,64;2.738.924,94;3.131.377,27;3.166.212,96;3.350.980,11;42.099.997,95;3.796.470,92;5.155.266,08;3.596.754,99;4.504.872,30;4.858.621,91;3.866.007,80;3.389.340,02;3.592.832,99;3.477.363,97;3.580.537,03;3.854.916,15;4.551.266,24;48.224.250,40;344.396,99;298.395,89;-165.873,36;-719.094,69;1.659.458,39;655.777,53;432.809,24;541.794,35;738.439,03;449.159,76;688.703,19;1.200.286,13;6.124.252,45
1.501.000.0000;Outros Recursos não Vinculados;1.354.391,38;1.115.752,26;1.128.821,33;2.053.149,86;2.073.243,45;1.269.023,90;1.768.165,27;1.272.442,31;1.355.793,34;2.025.547,70;1.177.335,23;1.556.367,29;18.150.033,32;575.541,38;786.377,21;733.307,63;1.201.463,20;2.029.377,95;8.232.491,96;1.026.836,18;1.293.735,26;1.325.958,77;1.842.998,79;1.239.077,65;1.382.330,80;21.669.496,78;-778.850,00;-329.375,05;-395.513,70;-851.686,66;-43.865,50;6.963.468,06;-741.329,09;21.292,95;-29.834,57;-182.548,91;61.742,42;-174.036,49;3.519.463,46
1.502.000.0000;Recursos não vinculados da compensação de impostos.;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;173.375,93;89.981,94;0,00;0,00;0,00;2.098,15;1.933,19;2.042,77;2.154,72;1.798,07;2.094,52;275.479,29;0,00;173.375,93;89.981,94;0,00;0,00;0,00;2.098,15;1.933,19;2.042,77;2.154,72;1.798,07;2.094,52;275.479,29
1.502.000.0000;Recursos não vinculados da compensação de impostos.;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;173.375,93;89.981,94;0,00;0,00;0,00;2.098,15;1.933,19;2.042,77;2.154,72;1.798,07;2.094,52;275.479,29;0,00;173.375,93;89.981,94;0,00;0,00;0,00;2.098,15;1.933,19;2.042,77;2.154,72;1.798,07;2.094,52;275.479,29
1.540.000.0000;Transferências do FUNDEB - Impostos e Transferências de Impostos (30%);1.853.007,15;1.393.602,92;1.282.304,94;1.326.203,05;1.200.821,21;1.237.193,84;1.394.969,67;1.217.712,11;1.151.564,51;1.401.949,67;1.303.952,55;1.494.167,96;16.257.449,58;1.722.247,48;2.117.428,58;1.637.212,61;1.826.100,18;1.557.377,08;1.565.374,75;1.618.382,52;1.499.109,22;1.566.750,75;1.465.344,25;1.592.045,45;1.882.118,25;20.049.491,12;-130.759,67;723.825,66;354.907,67;499.897,13;356.555,87;328.180,91;223.412,85;281.397,11;415.186,24;63.394,58;288.092,90;387.950,29;3.792.041,54
1.540.000.1070;Transferências do FUNDEB - Impostos e Transferências de Impostos (70% -Pagto da Remuneração dos Profissionais da Educação Básica em Efetivo Exercício);4.323.683,36;3.251.740,16;2.992.044,92;3.094.473,76;2.801.916,13;2.886.785,64;3.254.929,31;2.841.328,28;2.686.983,82;3.271.215,93;3.042.555,95;3.486.391,87;37.934.049,13;4.018.577,43;4.940.666,70;3.820.162,76;4.260.900,45;3.634.161,08;3.652.541,07;3.775.944,57;3.497.921,57;3.655.751,72;3.419.136,63;3.714.772,69;4.394.371,70;46.784.908,37;-305.105,93;1.688.926,54;828.117,84;1.166.426,69;832.244,95;765.755,43;521.015,26;656.593,29;968.767,90;147.920,70;672.216,74;907.979,83;8.850.859,24
