Código;Especificação;Previsto Janeiro;Previsto Fevereiro;Previsto Março;Previsto Abril;Previsto Maio;Previsto Junho;Previsto Julho;Previsto Agosto;Previsto Setembro;Previsto Outubro;Previsto Novembro;Previsto Dezembro;Total Previsto;Realizado Janeiro;Realizado Fevereiro;Realizado Março;Realizado Abril;Realizado Maio;Realizado Junho;Realizado Julho;Realizado Agosto;Realizado Setembro;Realizado Outubro;Realizado Novembro;Realizado Dezembro;Total Realizado;Diferença Janeiro;Diferença Fevereiro;Diferença Março;Diferença Abril;Diferença Maio;Diferença Junho;Diferença Julho;Diferença Agosto;Diferença Setembro;Diferença Outubro;Diferença Novembro;Diferença Dezembro;Total Diferença
1.1.1.2.50.0.1.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;258.469,08;240.521,76;209.104,14;263.261,13;8.585.201,60;3.297.648,92;1.912.189,79;1.837.720,95;1.977.031,87;2.148.529,13;1.935.393,15;2.820.331,24;25.485.402,76;38.168,88;178.543,29;2.418.097,77;10.144.986,62;2.073.383,60;2.000.616,17;2.057.626,67;2.137.877,12;1.931.123,66;1.982.937,71;1.995.742,75;454.292,40;27.413.396,64;-220.300,20;-61.978,47;2.208.993,63;9.881.725,49;-6.511.818,00;-1.297.032,75;145.436,88;300.156,17;-45.908,21;-165.591,42;60.349,60;-2.366.038,84;1.927.993,88
1.1.1.2.50.0.2.00.00.00;Multas/Juros de Mora s/IPTU;1.806,40;1.680,98;1.461,41;1.839,89;60.000,83;23.046,83;13.364,03;12.843,59;13.817,21;15.015,78;13.526,21;19.710,92;178.114,08;6.406,17;25,78;91,82;5.002,32;69.361,19;105.769,78;34.568,43;30.129,70;31.129,34;43.892,74;49.559,83;64.179,48;440.116,58;4.599,77;-1.655,20;-1.369,59;3.162,43;9.360,36;82.722,95;21.204,40;17.286,11;17.312,13;28.876,96;36.033,62;44.468,56;262.002,50
1.1.1.2.50.0.2.00.00.00;Multas/Juros de Mora s/IPTU;1.806,40;1.680,98;1.461,41;1.839,89;60.000,83;23.046,83;13.364,03;12.843,59;13.817,21;15.015,78;13.526,21;19.710,92;178.114,08;6.406,17;25,78;91,82;5.002,32;69.361,19;105.769,78;34.568,43;30.129,70;31.129,34;43.892,74;49.559,83;64.179,48;440.116,58;4.599,77;-1.655,20;-1.369,59;3.162,43;9.360,36;82.722,95;21.204,40;17.286,11;17.312,13;28.876,96;36.033,62;44.468,56;262.002,50
1.1.1.2.50.0.3.00.00.00;IPTU - Dívida Ativa;31.268,37;29.097,17;25.296,43;31.848,08;1.038.596,97;398.933,92;231.327,66;222.318,76;239.171,94;259.918,86;234.134,68;341.190,30;3.083.103,14;228.816,60;216.878,90;212.718,68;215.095,48;161.394,76;141.429,30;141.821,55;142.347,24;137.320,26;344.716,36;462.086,53;850.596,38;3.255.222,04;197.548,23;187.781,73;187.422,25;183.247,40;-877.202,21;-257.504,62;-89.506,11;-79.971,52;-101.851,68;84.797,50;227.951,85;509.406,08;172.118,90
1.1.1.2.50.0.3.00.00.00;IPTU - Dívida Ativa;31.268,37;29.097,17;25.296,43;31.848,08;1.038.596,97;398.933,92;231.327,66;222.318,76;239.171,94;259.918,86;234.134,68;341.190,30;3.083.103,14;228.816,60;216.878,90;212.718,68;215.095,48;161.394,76;141.429,30;141.821,55;142.347,24;137.320,26;344.716,36;462.086,53;850.596,38;3.255.222,04;197.548,23;187.781,73;187.422,25;183.247,40;-877.202,21;-257.504,62;-89.506,11;-79.971,52;-101.851,68;84.797,50;227.951,85;509.406,08;172.118,90
1.1.1.2.50.0.4.00.00.00;Multas/Juros Mora Div.Ativ.IPTU;10.664,93;9.924,38;8.628,04;10.862,66;354.241,64;136.067,23;78.900,56;75.827,83;81.576,08;88.652,37;79.857,97;116.372,19;1.051.575,88;103.532,89;106.738,94;109.337,45;105.812,24;88.095,84;78.229,27;70.619,39;68.893,37;60.264,27;45.001,93;76.817,96;89.035,76;1.002.379,31;92.867,96;96.814,56;100.709,41;94.949,58;-266.145,80;-57.837,96;-8.281,17;-6.934,46;-21.311,81;-43.650,44;-3.040,01;-27.336,43;-49.196,57
1.1.1.2.50.0.4.00.00.00;Multas/Juros Mora Div.Ativ.IPTU;10.664,93;9.924,38;8.628,04;10.862,66;354.241,64;136.067,23;78.900,56;75.827,83;81.576,08;88.652,37;79.857,97;116.372,19;1.051.575,88;103.532,89;106.738,94;109.337,45;105.812,24;88.095,84;78.229,27;70.619,39;68.893,37;60.264,27;45.001,93;76.817,96;89.035,76;1.002.379,31;92.867,96;96.814,56;100.709,41;94.949,58;-266.145,80;-57.837,96;-8.281,17;-6.934,46;-21.311,81;-43.650,44;-3.040,01;-27.336,43;-49.196,57
1.1.1.2.53.0.1.00.00.00;"Imp.s/ Transm.""Inter Vivos"" Bens Imóv.Direitos Reais s/Imóveis";162.165,27;215.305,00;211.373,98;341.821,50;473.212,33;354.624,68;518.181,76;440.940,25;371.030,25;620.768,33;475.600,75;459.733,57;4.644.757,67;339.913,89;454.174,62;577.560,33;411.293,46;127.979,12;328.474,09;500.201,69;897.011,38;384.182,42;560.211,49;388.621,62;509.004,90;5.478.629,01;177.748,62;238.869,62;366.186,35;69.471,96;-345.233,21;-26.150,59;-17.980,07;456.071,13;13.152,17;-60.556,84;-86.979,13;49.271,33;833.871,34
1.1.1.2.53.0.1.00.00.00;"Imp.s/ Transm.""Inter Vivos"" Bens Imóv.Direitos Reais s/Imóveis";162.165,27;215.305,00;211.373,98;341.821,50;473.212,33;354.624,68;518.181,76;440.940,25;371.030,25;620.768,33;475.600,75;459.733,57;4.644.757,67;339.913,89;454.174,62;577.560,33;411.293,46;127.979,12;328.474,09;500.201,69;897.011,38;384.182,42;560.211,49;388.621,62;509.004,90;5.478.629,01;177.748,62;238.869,62;366.186,35;69.471,96;-345.233,21;-26.150,59;-17.980,07;456.071,13;13.152,17;-60.556,84;-86.979,13;49.271,33;833.871,34
1.1.1.3.03.1.1.00.00.00;Imposto sobre a Renda - Retido na Fonte - Trabalho - Principal;183.197,35;1.815.823,91;850.327,74;1.083.172,97;1.088.091,21;1.126.524,50;1.110.985,69;1.136.104,52;1.090.082,37;1.131.066,79;2.093.673,44;2.215.650,11;14.924.700,60;1.666.623,88;1.326.698,81;1.491.820,87;1.742.782,35;1.477.025,65;1.351.728,71;1.373.456,62;1.345.627,87;1.038.102,29;1.841.844,20;1.394.786,94;1.741.837,32;17.792.335,51;1.483.426,53;-489.125,10;641.493,13;659.609,38;388.934,44;225.204,21;262.470,93;209.523,35;-51.980,08;710.777,41;-698.886,50;-473.812,79;2.867.634,91
