Código;Especificação;Previsto Janeiro;Previsto Fevereiro;Previsto Março;Previsto Abril;Previsto Maio;Previsto Junho;Previsto Julho;Previsto Agosto;Previsto Setembro;Previsto Outubro;Previsto Novembro;Previsto Dezembro;Total Previsto;Realizado Janeiro;Realizado Fevereiro;Realizado Março;Realizado Abril;Realizado Maio;Realizado Junho;Realizado Julho;Realizado Agosto;Realizado Setembro;Realizado Outubro;Realizado Novembro;Realizado Dezembro;Total Realizado;Diferença Janeiro;Diferença Fevereiro;Diferença Março;Diferença Abril;Diferença Maio;Diferença Junho;Diferença Julho;Diferença Agosto;Diferença Setembro;Diferença Outubro;Diferença Novembro;Diferença Dezembro;Total Diferença
1.500.000.0000;Recursos não vinculados de Impostos;11.741.042,22;12.115.335,18;16.201.049,89;18.309.848,11;14.802.521,01;14.360.339,36;13.276.219,34;12.384.358,77;11.270.408,98;11.848.880,93;11.930.155,59;16.258.723,09;164.498.882,47;20.559.340,61;16.151.136,16;14.935.470,63;18.708.176,76;13.556.408,61;13.739.093,97;16.007.048,74;13.226.615,64;13.318.769,55;13.473.439,12;13.438.540,16;18.094.043,77;185.208.083,72;8.818.298,39;4.035.800,98;-1.265.579,26;398.328,65;-1.246.112,40;-621.245,39;2.730.829,40;842.256,87;2.048.360,57;1.624.558,19;1.508.384,57;1.835.320,68;20.709.201,25
1.500.000.0000;Recursos não vinculados de Impostos;11.741.042,22;12.115.335,18;16.201.049,89;18.309.848,11;14.802.521,01;14.360.339,36;13.276.219,34;12.384.358,77;11.270.408,98;11.848.880,93;11.930.155,59;16.258.723,09;164.498.882,47;20.559.340,61;16.151.136,16;14.935.470,63;18.708.176,76;13.556.408,61;13.739.093,97;16.007.048,74;13.226.615,64;13.318.769,55;13.473.439,12;13.438.540,16;18.094.043,77;185.208.083,72;8.818.298,39;4.035.800,98;-1.265.579,26;398.328,65;-1.246.112,40;-621.245,39;2.730.829,40;842.256,87;2.048.360,57;1.624.558,19;1.508.384,57;1.835.320,68;20.709.201,25
1.500.000.1001;Recursos não vinculados de Impostos (Educação);1.444.042,04;1.688.147,18;2.509.526,53;4.196.284,71;2.505.409,97;3.225.316,78;2.982.992,35;2.476.302,74;2.256.571,31;2.441.896,27;2.367.552,49;3.431.690,80;31.525.733,17;2.837.701,28;2.329.287,92;2.704.356,98;4.679.009,11;2.558.892,32;2.593.580,55;3.581.696,57;2.653.200,30;2.924.084,27;2.665.804,32;2.535.242,66;3.756.681,39;35.819.537,67;1.393.659,24;641.140,74;194.830,45;482.724,40;53.482,35;-631.736,23;598.704,22;176.897,56;667.512,96;223.908,05;167.690,17;324.990,59;4.293.804,50
1.500.000.1002;Recursos não vinculados de Impostos (Saúde);2.991.772,34;2.927.531,86;3.947.482,29;4.466.060,60;3.576.114,50;3.474.413,00;2.590.901,39;2.985.454,94;2.518.608,07;2.881.834,88;2.917.422,08;3.249.562,48;38.527.158,43;5.003.391,41;3.926.434,07;3.638.964,37;4.579.900,21;3.292.954,02;3.348.753,17;3.122.059,84;3.215.563,90;2.909.544,63;3.298.214,30;3.314.005,80;3.583.836,19;43.233.621,91;2.011.619,07;998.902,21;-308.517,92;113.839,61;-283.160,48;-125.659,83;531.158,45;230.108,96;390.936,56;416.379,42;396.583,72;334.273,71;4.706.463,48
1.500.000.1002;Recursos não vinculados de Impostos (Saúde);2.991.772,34;2.927.531,86;3.947.482,29;4.466.060,60;3.576.114,50;3.474.413,00;2.590.901,39;2.985.454,94;2.518.608,07;2.881.834,88;2.917.422,08;3.249.562,48;38.527.158,43;5.003.391,41;3.926.434,07;3.638.964,37;4.579.900,21;3.292.954,02;3.348.753,17;3.122.059,84;3.215.563,90;2.909.544,63;3.298.214,30;3.314.005,80;3.583.836,19;43.233.621,91;2.011.619,07;998.902,21;-308.517,92;113.839,61;-283.160,48;-125.659,83;531.158,45;230.108,96;390.936,56;416.379,42;396.583,72;334.273,71;4.706.463,48
1.501.000.0000;Outros Recursos não Vinculados;629.971,67;664.633,85;402.423,31;416.019,45;1.246.359,09;428.811,52;387.187,40;380.590,87;389.782,10;829.783,71;324.386,98;461.323,60;6.561.273,55;783.785,42;671.791,14;661.301,56;1.574.755,21;1.643.765,93;816.266,89;1.256.985,28;860.588,73;936.040,13;1.210.017,91;759.551,79;1.226.420,61;12.401.270,60;153.813,75;7.157,29;258.878,25;1.158.735,76;397.406,84;387.455,37;869.797,88;479.997,86;546.258,03;380.234,20;435.164,81;765.097,01;5.839.997,05
1.501.000.0000;Outros Recursos não Vinculados;629.971,67;664.633,85;402.423,31;416.019,45;1.246.359,09;428.811,52;387.187,40;380.590,87;389.782,10;829.783,71;324.386,98;461.323,60;6.561.273,55;783.785,42;671.791,14;661.301,56;1.574.755,21;1.643.765,93;816.266,89;1.256.985,28;860.588,73;936.040,13;1.210.017,91;759.551,79;1.226.420,61;12.401.270,60;153.813,75;7.157,29;258.878,25;1.158.735,76;397.406,84;387.455,37;869.797,88;479.997,86;546.258,03;380.234,20;435.164,81;765.097,01;5.839.997,05
1.501.000.0000;Outros Recursos não Vinculados;629.971,67;664.633,85;402.423,31;416.019,45;1.246.359,09;428.811,52;387.187,40;380.590,87;389.782,10;829.783,71;324.386,98;461.323,60;6.561.273,55;783.785,42;671.791,14;661.301,56;1.574.755,21;1.643.765,93;816.266,89;1.256.985,28;860.588,73;936.040,13;1.210.017,91;759.551,79;1.226.420,61;12.401.270,60;153.813,75;7.157,29;258.878,25;1.158.735,76;397.406,84;387.455,37;869.797,88;479.997,86;546.258,03;380.234,20;435.164,81;765.097,01;5.839.997,05
1.540.000.0000;Transferências do FUNDEB - Impostos e Transferências de Impostos (30%);1.610.272,63;1.187.487,57;1.488.227,30;1.319.936,72;1.445.327,59;1.177.542,45;1.067.755,36;1.306.165,53;1.107.135,06;1.284.939,77;1.176.045,80;1.340.130,78;15.510.966,56;1.943.169,23;1.460.639,05;1.343.603,66;1.389.869,83;1.258.509,00;1.296.976,87;1.462.431,19;1.276.508,43;1.207.317,11;1.469.947,87;1.367.593,95;1.566.916,22;17.043.482,41;332.896,60;273.151,48;-144.623,64;69.933,11;-186.818,59;119.434,42;394.675,83;-29.657,10;100.182,05;185.008,10;191.548,15;226.785,44;1.532.515,85
1.540.000.0000;Transferências do FUNDEB - Impostos e Transferências de Impostos (30%);1.610.272,63;1.187.487,57;1.488.227,30;1.319.936,72;1.445.327,59;1.177.542,45;1.067.755,36;1.306.165,53;1.107.135,06;1.284.939,77;1.176.045,80;1.340.130,78;15.510.966,56;1.943.169,23;1.460.639,05;1.343.603,66;1.389.869,83;1.258.509,00;1.296.976,87;1.462.431,19;1.276.508,43;1.207.317,11;1.469.947,87;1.367.593,95;1.566.916,22;17.043.482,41;332.896,60;273.151,48;-144.623,64;69.933,11;-186.818,59;119.434,42;394.675,83;-29.657,10;100.182,05;185.008,10;191.548,15;226.785,44;1.532.515,85
1.540.000.1070;Transferências do FUNDEB - Impostos e Transferências de Impostos (70% -Pagto da Remuneração dos Profissionais da Educação Básica em Efetivo Exercício);3.757.302,79;2.770.804,39;3.472.530,44;3.079.852,34;3.372.430,95;2.747.598,96;2.491.429,18;3.047.719,55;2.583.315,17;2.998.192,77;2.744.106,84;3.126.971,78;36.192.255,16;4.534.061,55;3.408.157,80;3.135.075,25;3.243.029,56;2.936.520,97;3.026.279,37;3.412.339,52;2.978.519,68;2.817.073,21;3.429.878,38;3.191.052,54;3.656.137,81;39.768.125,64;776.758,76;637.353,41;-337.455,19;163.177,22;-435.909,98;278.680,41;920.910,34;-69.199,87;233.758,04;431.685,61;446.945,70;529.166,03;3.575.870,48
1.550.000.0000;QESE - Transferência do Salário-Educação;411.633,35;264.145,78;277.626,42;257.168,50;253.123,72;279.080,27;300.285,73;283.309,23;276.004,42;276.893,39;273.899,94;268.837,38;3.422.008,13;454.225,11;325.856,72;310.654,49;310.554,02;314.429,44;298.876,54;324.259,26;320.843,85;345.520,57;315.349,05;322.873,11;342.833,79;3.986.275,95;42.591,76;61.710,94;33.028,07;53.385,52;61.305,72;19.796,27;23.973,53;37.534,62;69.516,15;38.455,66;48.973,17;73.996,41;564.267,82
